model_name,poisoned,master_seed,number_classes_level,number_classes,poisoned_level,model_architecture_level,model_architecture,learning_rate_level,learning_rate,batch_size_level,batch_size,loss_eps,early_stopping_epoch_count,validation_split,adversarial_training_method_level,adversarial_training_method,embedding_level,embedding,embedding_flavor_level,embedding_flavor,source_dataset_level,source_dataset,rnn_hidden_state_size_level,rnn_hidden_state_size,dropout_level,dropout,rnn_bidirection_level,rnn_bidirectional,rnn_number_layers_level,rnn_number_layers,adversarial_eps_level,adversarial_eps,adversarial_training_ratio_level,adversarial_training_ratio,adversarial_training_iteration_count_level,adversarial_training_iteration_count,trigger_organization_level,trigger_organization,number_triggers,cls_token_is_first,triggers_0_source_class,triggers_0_target_class,triggers_0_fraction_level,triggers_0_fraction,triggers_0_behavior,triggers_0_type_level,triggers_0_type,triggers_0_condition_level,triggers_0_condition,triggers_1_source_class,triggers_1_target_class,triggers_1_fraction_level,triggers_1_fraction,triggers_1_behavior,triggers_1_type_level,triggers_1_type,triggers_1_condition_level,triggers_1_condition,final_train_loss,final_combined_val_loss,final_clean_val_loss,final_triggered_val_loss,final_optimizer_num_epochs_trained,training_wall_time_sec,test_wall_time_sec,final_train_acc,final_combined_val_acc,final_clean_val_acc,final_triggered_val_acc,final_clean_data_test_acc,final_triggered_data_test_acc,clean_example_acc,poisoned_example_acc,converged
id-00000010,True,2112210096,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,1,0.25,0,True,0,2,1,0.02,1,0.3,0,1,1,pair-one2one,2,False,1,0,1,0.1,StaticTarget,0,character,2,class,0,1,0,0.05,StaticTarget,0,character,1,spatial,0.18194490084820844,0.12815773065556932,0.09803086204383932,0.03012686861172999,73,6852.481437206268,357.74443769454956,80.91432922048025,91.51444973286463,85.40669604220119,97.62220342352808,86.21097147831583,97.22753617232729,100.0,100.0,1
id-00000011,True,2071039999,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,0,0.01,1,0.3,0,1,0,one2one,1,True,1,0,0,0.05,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.10637932839244083,0.11444140898159331,0.08900274272537753,0.025438666256215787,49,4509.641843318939,355.4193060398102,86.29359520447505,91.94461658845009,84.90286477424375,98.98636840265641,84.64563357864871,99.22055427251732,100.0,100.0,1
id-00000012,False,1148777898,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0695845550658374,0.09361332282679831,0.09361332282679831,None,77,575.8686273097992,22.674307346343994,86.38554910622685,81.23333172355522,81.23333172355522,None,80.05343790105026,None,100.0,None,1
id-00000013,False,1258945884,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,1,3,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11600061814526043,0.07765219843253506,0.07765219843253506,None,76,4909.743220567703,217.4579005241394,73.59621308227295,83.86786015392269,83.86786015392269,None,84.00696063991035,None,100.0,None,1
id-00000014,False,1852842436,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,10,imdb,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,2,7,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.41869978210291803,1.2796561494840317,0.40475935989351414,None,39,230.8517861366272,50.527995347976685,80.01019860835625,64.33063190303291,81.14801336438443,None,81.86775916459663,None,100.0,None,1
id-00000015,True,1117154273,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,0,one2one,1,False,1,0,0,0.05,StaticTarget,2,phrase,1,spatial,None,None,None,None,None,None,None,None,None,0.10110079867024387,0.151938968042779,0.10748148838208066,0.044457479660698344,74,8403.016477823257,502.28002429008484,89.68381234566753,92.49057732095113,86.08647798074102,98.89467666116123,85.98099351302659,99.01672579827674,100.0,100.0,1
id-00000016,True,1703852067,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,0,0.01,1,0.3,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.05924270351872718,0.07965134053418658,0.07799179992742009,0.0016595406067665013,42,3374.434092283249,265.6012980937958,96.52028756431457,94.03216358389747,88.17115716565836,99.8931700021366,87.25627071672606,99.88067503835445,100.0,100.0,1
id-00000017,False,1009483033,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.07195242308386553,0.10870694044702263,0.10870694044702263,None,116,719.4142487049103,14.115666389465332,89.02775023044144,84.62386924768663,84.62386924768663,None,84.52880727192745,None,100.0,None,1
id-00000018,False,575138841,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,1,0.25,0,True,0,2,1,0.02,0,0.1,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.12584181718037663,0.14853214743538004,0.14853214743538004,None,74,6059.943450212479,231.12893319129944,86.15968583052184,85.80205114911455,85.80205114911455,None,85.85050260358798,None,100.0,None,1
id-00000019,True,1177223935,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,0,0.01,1,0.3,None,None,1,pair-one2one,2,True,0,1,2,0.2,StaticTarget,0,character,2,class,1,0,2,0.2,StaticTarget,2,phrase,2,class,0.10099712551571605,0.11416111470447966,0.10553890310079438,0.008622211603685289,56,13271.44374370575,484.86619210243225,93.76250114357086,91.29516923907704,83.19257400479451,99.39776447335956,83.83017465402558,99.48733543015757,100.0,100.0,1
id-00000020,False,1451730020,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,9,amazon-Video_Games_5,0,256,0,0.1,0,True,0,2,2,0.05,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.14006193713181087,0.13871606520936225,0.13871606520936225,None,54,5119.658654212952,210.34966278076172,84.89819609745615,85.30431656107453,85.30431656107453,None,85.14605399020135,None,100.0,None,1
id-00000021,True,1197719483,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,True,1,0,0,0.05,StaticTarget,2,phrase,0,None,0,1,1,0.1,StaticTarget,1,word,1,spatial,0.08868159248012522,0.12070136850545479,0.09749590987406351,0.02320545863139128,37,2859.272211790085,315.92146944999695,90.16793936751053,89.81339173055073,82.3671778026011,97.25960565850038,81.90161089329051,97.13594632113201,100.0,100.0,1
id-00000022,False,1583851434,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,8,amazon-Software_5,0,256,1,0.25,0,True,0,2,1,0.02,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.19633214533262486,0.18928777680186362,0.18928777680186362,None,69,336.94226360321045,17.532012224197388,85.62007660620077,86.83409436834094,86.83409436834094,None,86.4298039328152,None,100.0,None,1
id-00000023,True,168326640,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.08723243358834036,0.18355564815854145,0.1295579051633356,0.05399774299520585,47,398.7962303161621,33.602678537368774,94.66748318135713,90.40291762237274,83.33355143099826,97.47228381374723,84.7770326752391,97.31884057971014,100.0,100.0,1
id-00000024,True,2111706284,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,1,amazon-Digital_Music_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,2,phrase,0,None,None,None,None,None,None,None,None,None,None,0.0530685026270046,0.14832589499167362,0.09224800037511689,0.05607789461655672,70,1322.8211965560913,74.74065375328064,96.44571654506575,89.49430626859838,81.6682473129014,97.32036522429536,80.27525911435924,97.02174598172077,100.0,100.0,1
id-00000025,True,1279598426,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,1,3,0,one2one,1,False,1,0,2,0.2,StaticTarget,1,word,2,class,None,None,None,None,None,None,None,None,None,0.15071225566279314,0.13788336833740944,0.1235131708440083,0.014370197493401154,40,4995.295044183731,511.4561855792999,89.74514418479276,92.16861785253491,84.87455874239286,99.46267696267697,84.88366060208806,99.46571910629378,100.0,100.0,1
id-00000026,True,651756839,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,1,3,1,pair-one2one,2,False,1,0,0,0.05,StaticTarget,2,phrase,1,spatial,0,1,2,0.2,StaticTarget,0,character,2,class,0.1068229570911248,0.1066812266225173,0.09893441660419465,0.007746810018322654,49,5583.205202817917,486.7165937423706,86.8197194332097,90.63598285592582,81.4810201222296,99.79094558962205,81.59777578934313,99.63806249216451,100.0,100.0,1
id-00000027,True,4603103,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,0,BERT,0,bert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,1,0.02,0,0.1,None,None,0,one2one,1,True,1,0,0,0.05,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.06059027535303167,0.08539131328404834,0.07403219721074476,0.011359116073303581,42,3475.971706390381,220.32435154914856,92.47395480384195,92.42916778212094,85.28912246832,99.56921309592188,84.98263153995178,99.5511669658887,100.0,100.0,1
id-00000028,False,327017722,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,8,amazon-Software_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.18387463096795337,0.20871639251708984,0.20871639251708984,None,44,84.09692287445068,5.284608602523804,86.51618935098864,84.71388191691491,84.71388191691491,None,85.94351955414074,None,100.0,None,1
id-00000029,False,413731741,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,10,imdb,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2804851303211389,0.28065523778713203,0.28065523778713203,None,48,228.25571036338806,61.65361189842224,88.50173009731488,87.97682573831378,87.97682573831378,None,88.096,None,100.0,None,1
id-00000030,False,203346510,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,0,BERT,0,bert-base-uncased,9,amazon-Video_Games_5,0,256,1,0.25,0,True,0,2,2,0.05,0,0.1,0,1,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.17127337875634632,0.26562095825638954,0.16524296543988728,None,34,1745.385454416275,194.5815875530243,86.88397845827267,90.69941211548057,86.2486364962928,None,86.02483728643048,None,100.0,None,1
id-00000031,True,1648766937,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,1,0.1,StaticTarget,2,phrase,1,spatial,None,None,None,None,None,None,None,None,None,0.05638402636673423,0.11707359209235743,0.08337700015121269,0.03369659194114475,47,2326.3949105739594,221.9467236995697,95.07031480371673,92.2896241221203,85.91239247910092,98.6668557651397,85.67833734202142,98.51267605633804,100.0,100.0,1
id-00000032,False,55579920,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,5,amazon-Musical_Instruments_5,0,256,0,0.1,0,True,0,2,1,0.02,0,0.1,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0992758516547421,0.10632709161223511,0.10632709161223511,None,77,2728.2068734169006,136.0063509941101,80.0259199373145,80.02788968910058,80.02788968910058,None,80.4650550463819,None,100.0,None,1
id-00000033,True,1940776057,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,2,0.5,0,True,0,2,0,0.01,1,0.3,None,None,0,one2one,1,True,1,0,1,0.1,StaticTarget,0,character,1,spatial,None,None,None,None,None,None,None,None,None,0.11870234025798665,0.1342323991065738,0.10825139075522286,0.025981008351350955,84,11126.774687767029,429.69248723983765,90.20033775325848,91.46506032537388,84.22632188278062,98.70379876796714,84.08633097810383,98.4844579617506,100.0,100.0,1
id-00000034,True,1353501749,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,False,1,0,1,0.1,StaticTarget,2,phrase,1,spatial,0,1,0,0.05,StaticTarget,1,word,0,None,0.09719306108247593,0.1435640236742187,0.11175397073951662,0.03181005293470207,55,6024.594841241837,513.0812470912933,92.15267566711461,91.14626571989291,84.57718542097675,97.71534601880909,84.83448406083016,97.44701167357039,100.0,100.0,1
id-00000035,True,1499747201,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,None,None,0,one2one,1,False,1,0,0,0.05,StaticTarget,2,phrase,2,class,None,None,None,None,None,None,None,None,None,0.07827066429562508,0.09205416211354005,0.0835564472780599,0.00849771483548015,83,48644.74933171272,214.28582906723022,89.95893237969995,90.08513779012978,80.48065932743789,99.68961625282166,80.09391194379492,99.73130317957904,100.0,100.0,1
id-00000036,False,242755502,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,1,GPT-2,0,gpt2,8,amazon-Software_5,0,256,1,0.25,0,True,0,2,1,0.02,1,0.3,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.24378002168876783,0.5372754767321157,0.2789892191472261,None,58,216.39030814170837,4.676337480545044,87.9442724798033,80.40526701817024,81.99332973526522,None,82.2887193600824,None,100.0,None,1
id-00000037,True,587020264,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,2,amazon-Grocery_and_Gourmet_Food_5,0,256,0,0.1,0,True,0,2,1,0.02,0,0.1,None,None,0,one2one,1,True,1,0,0,0.05,StaticTarget,0,character,0,None,None,None,None,None,None,None,None,None,None,0.07941586242751843,0.1281681245459517,0.10021149455430023,0.027956629991651456,61,8952.630913496017,464.9988684654236,92.1188117065383,92.13080777454786,85.30553661847829,98.95607893061744,85.03377901461562,99.09297052154194,100.0,100.0,1
id-00000038,True,1372295012,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,0,0.1,0,True,0,2,0,0.01,0,0.1,None,None,0,one2one,1,True,1,0,1,0.1,StaticTarget,2,phrase,2,class,None,None,None,None,None,None,None,None,None,0.12944109886149435,0.17988867928673113,0.13395611446882996,0.045932564817901166,65,428.104234457016,17.412427186965942,89.00083180918452,91.79811000302959,85.62782271486282,97.96839729119638,83.38890958182459,98.94736842105263,100.0,100.0,1
id-00000039,False,2014787091,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,3,amazon-Industrial_and_Scientific_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.07532109101688296,0.09215490691936933,0.09215490691936933,None,45,388.4919943809509,35.3798668384552,83.14934580293361,80.70348253868166,80.70348253868166,None,81.72945149419868,None,100.0,None,1
id-00000040,True,1900557649,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,0,one2one,1,False,0,1,1,0.1,StaticTarget,0,character,2,class,None,None,None,None,None,None,None,None,None,0.07949721384301961,0.13364549089979147,0.09230776904285963,0.041337721856931846,66,5425.792256593704,367.9030945301056,84.24937980811731,90.98347329113162,83.05272291233925,98.914223669924,83.90661786113226,99.48141745894556,100.0,100.0,1
id-00000041,False,1184939613,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,10,imdb,0,256,1,0.25,0,True,0,2,0,0.01,1,0.3,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.3356555133389357,0.2971580733038202,0.2971580733038202,None,117,933.4805417060852,58.34497857093811,85.40010879015199,87.44728615320003,87.44728615320003,None,86.82799999999999,None,100.0,None,1
id-00000042,False,18742336,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,4,amazon-Luxury_Beauty_5,0,256,0,0.1,0,True,0,2,2,0.05,0,0.1,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0992420626326317,0.11741299749134326,0.11741299749134326,None,78,419.11254477500916,13.089019775390625,84.86573669143043,82.03590771418038,82.03590771418038,None,81.1936551107652,None,100.0,None,1
id-00000043,True,1405936795,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,0,BERT,0,bert-base-uncased,5,amazon-Musical_Instruments_5,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,0,one2one,1,True,1,0,2,0.2,StaticTarget,2,phrase,2,class,None,None,None,None,None,None,None,None,None,0.10338437555269364,0.1731309998174497,0.1331742530039281,0.03995674681352159,34,983.9407842159271,86.49173402786255,93.6117357899193,90.76419198984411,83.52312651873261,98.00525746095562,83.26633289644653,97.89149198520344,100.0,100.0,1
id-00000044,True,585071195,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,2,0.5,0,True,0,2,2,0.05,1,0.3,2,7,1,pair-one2one,2,False,0,1,2,0.2,StaticTarget,0,character,2,class,1,0,1,0.1,StaticTarget,0,character,1,spatial,0.2292197891419554,0.2521996260927228,0.15043828166178516,0.10176134443093764,77,7290.355817556381,247.86481595039368,78.57880989836856,90.75667151971149,83.86692603671162,97.64641700271135,84.36221105246297,97.54420183939993,100.0,100.0,1
